epoch,train_loss,train_bpc,val_loss,val_bpc,seconds
1,3.140639384587606,4.530984865365105,2.770227568750163,3.9965935755697504,4.108800649642944
2,2.6377356383535595,3.805448124628765,2.534117998967644,3.6559594701380833,3.8605284690856934
3,2.487173702981737,3.588233167121192,2.4496310084830712,3.5340705079463572,3.862072229385376
4,2.4124974740876093,3.4804981420233445,2.377511326593297,3.4300238005334904,3.8642537593841553
5,2.3258437977896795,3.355483312953524,2.2306574828752126,3.218158488465927,3.8719351291656494
6,2.1955164472262063,3.1674606906034035,2.08019619679633,3.0010887371941473,3.8785297870635986
7,2.0875898897647858,3.011755581373594,1.9706275535903814,2.8430145990039932,3.87811017036438
8,1.9930282301372952,2.875331943970784,1.8810136327306732,2.7137290397850764,3.8819689750671387
9,1.8996581004725561,2.740627320936305,1.7905575855997682,2.5832285491709013,3.8767623901367188
10,1.818321853876114,2.6232839213270958,1.7007508896689378,2.453664874312869,3.8804666996002197
11,1.7352168162663777,2.503388695694639,1.6157921953055694,2.3310953872744364,3.890630006790161
12,1.6483027107185788,2.3779981466375295,1.5572856209660304,2.2466882426153822,3.912679433822632
13,1.5673601594236162,2.261222729287386,1.4876481877028487,2.1462226629863537,3.899860382080078
14,1.497906807396147,2.161022722744241,1.4135231744242078,2.03928287392343,3.889431953430176
15,1.4361514647801716,2.0719285962037746,1.3613626683941324,1.9640311705435813,3.892777681350708
16,1.3746567600303226,1.9832104906202361,1.3092361297316224,1.8888284717164712,3.895559072494507
17,1.322809980975257,1.9084113995914274,1.2781127272671415,1.8439268933253734,3.8939497470855713
18,1.2822739349471197,1.849930247009387,1.2396745299564973,1.7884722966845954,3.89772367477417
19,1.2400162518024445,1.7889652970971068,1.2083306685658812,1.7432526632940426,3.900590658187866
20,1.20401222176022,1.7370224615031724,1.1896388612630713,1.7162860855930266,3.895822525024414
21,1.1721231639385223,1.6910162759251877,1.177890516419447,1.6993368067484764,3.9119532108306885
22,1.1435286700725555,1.6497631414280276,1.1464140988488234,1.6539259352143874,3.903698682785034
23,1.1158202522330813,1.6097883444201389,1.1282866574425734,1.6277735653935854,3.900330066680908
24,1.0876474744743772,1.5691436176595894,1.1168036087778688,1.6112070280307293,3.9008071422576904
25,1.0640924688842561,1.53516092790661,1.100789092879259,1.5881029653615675,3.904541015625
26,1.0426512542698119,1.5042277939117152,1.0925664646934916,1.576240220454887,3.9012537002563477
27,1.021961995297008,1.4743795025919837,1.0797428620680598,1.5577396725408459,3.904301643371582
28,1.0038267655505075,1.4482158965713254,1.0704121080063682,1.544278239928289,3.9053966999053955
29,0.9804221855269538,1.4144502250372555,1.061223202079307,1.5310214509161226,3.908186912536621
30,0.9644422464900546,1.391396046235013,1.057664734716634,1.5258876676988289,3.9083402156829834
